project_name,project_url,github_stars,language,domain,feature_name,scenario_name,given,when,then,input_text,acceptance_criteria,acceptance_count,difficulty,gherkin_project,created_utc,source
cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,authentication,User Authentication,User login with valid credentials,A user has registered with valid credentials in the system,The user enters username and password on login page and clicks Login,The system authenticates the user and redirects to dashboard,"The user is using the authentication service. The business requires secure access, clear feedback on failures, audit trails for compliance, and protection against common attacks.",Success message displayed | Session created with secure token | Redirect within 2 seconds | Login event logged,4,medium,cucumber-js,2026-03-16T19:31:38.199586,github-oss
cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,authentication,User Authentication,User login fails with invalid password,A user account exists in the system,User enters correct username but wrong password,System displays error and denies access,Failed login attempts must be logged for security monitoring. Business requires clear error messages without revealing if username exists. Rate limiting prevents brute force attacks.,"Error message: 'Invalid username or password' | Login attempt logged | User stays on login page | After 5 failures, account locked for 15 min",4,medium,cucumber-js,2026-03-16T19:31:38.199586,github-oss
behave,https://github.com/behave/behave,2300,Python,authentication,Password Management,User resets forgotten password via email,User has forgotten password and is on login page,User clicks Forgot Password and enters registered email,System sends password reset link and shows confirmation,"Password reset must be secure with time-limited tokens. Business requires email verification, token expiration tracking, and audit logging of all password changes for compliance.",Email sent within 30 seconds | Reset token expires after 24 hours | Confirmation message displayed | Reset attempt logged,4,medium,behave,2026-03-16T19:31:38.199586,github-oss
robotframework,https://github.com/robotframework/robotframework,1800,Python,authentication,Multi-Factor Authentication,User enables two-factor authentication,User is in security settings and has valid password,User selects Enable 2FA and scans QR code with authenticator app,System requires 2FA verification before changes take effect,"2FA significantly improves account security. Business requires SMS/app-based options, backup codes, and clear recovery procedures for lost devices.",QR code is valid and scannable | System accepts TOTP codes | Backup codes generated and displayed | 2FA status updated,4,medium,robotframework,2026-03-16T19:31:38.199586,github-oss
cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,api,API Rate Limiting,API returns 429 when rate limit exceeded,Client has sent maximum allowed requests in time window,Client sends one more request,System returns 429 Too Many Requests with Retry-After header,"Rate limiting protects API from abuse and DoS attacks. Business requires clear Retry-After headers, rate limit transparency, and different limits per API tier.",HTTP status 429 | Retry-After header present | Client IP logged | Rate limit counter resets after window,4,medium,cucumber-js,2026-03-16T19:31:38.199586,github-oss
jbehave,https://github.com/jbehave/jbehave-core,1200,Java,api,API Error Handling,API returns meaningful error for invalid request,Client submits malformed JSON payload,API endpoint receives and parses the request,API returns 400 Bad Request with detailed error message,"Clear error messages help developers debug integrations quickly. Business requires detailed status codes, error codes, and actionable error descriptions.",Status code 400 | Error code specifies exact issue | Request ID included for logging | Documentation URL provided,4,medium,jbehave,2026-03-16T19:31:38.199586,github-oss
godog,https://github.com/cucumber/godog,1500,Go,api,API Authentication,API rejects requests with invalid API key,Client has invalid or expired API key,Client makes authenticated API request,API returns 401 Unauthorized without processing request,"API key authentication secures service access. Business requires fast rejection, security logging, and support for key rotation.",Status code 401 | Request not processed | Invalid key logged | No data exposure in error,4,medium,godog,2026-03-16T19:31:38.199586,github-oss
behave,https://github.com/behave/behave,2300,Python,dashboard,Dashboard Filters,User filters requirements by status,User is logged in viewing dashboard with requirements,User selects Status filter and chooses 'In Progress',Dashboard displays only In Progress requirements,"Dashboard filtering improves data exploration. Business expects fast results (<1s), accurate counts, active filter indicators, and clear how-to documentation.",Filter applied within 1 second | Only matching results shown | Filter badge shows active state | Results count accurate,4,medium,behave,2026-03-16T19:31:38.199586,github-oss
robotframework,https://github.com/robotframework/robotframework,1800,Python,dashboard,Dashboard Export,User exports dashboard data as CSV,User viewing filtered requirements on dashboard,User clicks Export and selects CSV format,System downloads CSV file with all visible requirements,"Export functionality enables offline analysis and reporting. Business requires support for multiple formats, large dataset handling, and proper encoding.",File downloads within 5 seconds | CSV includes all visible columns | Filename includes timestamp | File properly encoded as UTF-8,4,medium,robotframework,2026-03-16T19:31:38.199586,github-oss
cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,dashboard,Dashboard Real-time Updates,Dashboard updates in real-time when data changes,Two users viewing the same dashboard,First user updates a requirement status,Second user's dashboard updates automatically,"Real-time updates keep users informed of changes made by teammates. Business requires automatic refresh, visual indicators, and conflict handling.",Update received within 2 seconds | Visual indicator shows change | User notified of changes | No refresh required,4,medium,cucumber-js,2026-03-16T19:31:38.199586,github-oss
behave,https://github.com/behave/behave,2300,Python,validation,Data Validation,System validates email format during registration,User on registration page,User enters invalid email like 'invalid@email' and submits,System displays validation error and prevents submission,"Email validation prevents invalid data entry and ensures deliverability. Business requires RFC 5322 compliance, clear error messages, and client+server validation.",Error message: 'Invalid email format' | Submission blocked | Email field highlighted | Suggestion provided if possible,4,medium,behave,2026-03-16T19:31:38.199586,github-oss
robotframework,https://github.com/robotframework/robotframework,1800,Python,validation,Data Validation,System validates password strength requirements,User creating new password,User enters 'pass' as password,System rejects password and shows requirements,"Strong password requirements protect user accounts. Business requires minimum length, character diversity, and clear real-time feedback.","Error shows requirements | Password must be 8+ chars | Must have uppercase, lowercase, number | Strength meter updates",4,medium,robotframework,2026-03-16T19:31:38.199586,github-oss
jbehave,https://github.com/jbehave/jbehave-core,1200,Java,validation,Data Validation,System prevents duplicate email registration,Email already exists in system,New user attempts to register with existing email,System rejects registration and suggests account recovery,Duplicate email prevention maintains data integrity and prevents account confusion. Business requires immediate feedback and suggestions.,Error: 'Email already registered' | Suggest 'Forgot Password' link | No data leakage about existing user,3,easy,jbehave,2026-03-16T19:31:38.199586,github-oss
robotframework,https://github.com/robotframework/robotframework,1800,Python,checkout,Shopping Cart,Add to cart respects stock constraints,Product has 5 units remaining,User adds 1 unit to cart,Cart shows 1 item and stock is 4 remaining,"Stock management prevents overselling. Business requires real-time stock checks, clear availability indicators, and waitlist options.",Item added to cart | Stock count decremented | Cart total updated | Stock warning if low,4,medium,robotframework,2026-03-16T19:31:38.199586,github-oss
cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,checkout,Shopping Cart,Cart prevents adding more than available stock,Product has 2 units available,User tries to add 3 units to cart,System rejects request and shows available quantity,Inventory constraints prevent customer disappointment. Business requires validation before checkout and clear messaging.,Request rejected | Error shows available: 2 | Suggestion to add 2 instead | Waitlist option offered,4,medium,cucumber-js,2026-03-16T19:31:38.199586,github-oss
behave,https://github.com/behave/behave,2300,Python,checkout,Checkout Process,User completes purchase with credit card,User has items in cart and enters payment details,User clicks Complete Purchase,System processes payment and creates order,"Secure payment processing is critical. Business requires PCI compliance, fraud detection, multiple retries, and clear confirmation.",Payment processed securely | Order confirmation displayed | Confirmation email sent | Order tracking available,4,medium,behave,2026-03-16T19:31:38.199586,github-oss
jbehave,https://github.com/jbehave/jbehave-core,1200,Java,checkout,Checkout Process,Checkout calculates taxes correctly,"Cart contains $100 of goods, shipping $10, delivery to NY",User proceeds to checkout,System calculates correct sales tax and total,Tax calculation accuracy is legally required. Business requires multi-jurisdiction support and clear tax itemization.,Tax calculated per location | Tax is 8.875% for NY | Tax itemized in total | Tax clearly displayed,4,medium,jbehave,2026-03-16T19:31:38.199586,github-oss
behave,https://github.com/behave/behave,2300,Python,search,Search Functionality,User searches for requirements by title,User on requirements list page,User enters 'authentication' in search and presses Enter,System filters and displays matching requirements,"Fast, accurate search improves user satisfaction. Business requires <1s results, case-insensitive matching, relevance ranking, and result highlighting.",Results displayed within 1 second | Only matching requirements shown | Result count displayed | Search term highlighted,4,medium,behave,2026-03-16T19:31:38.199586,github-oss
godog,https://github.com/cucumber/godog,1500,Go,search,Advanced Search,User searches with multiple filters,User on search page with multiple filter options,"User selects domain='auth', status='open', priority='high'",System returns only matching requirements,"Advanced search enables complex queries. Business requires filter combinations, saved searches, and search history.",All filters applied | Results accurate | Filter badges shown | Option to save search,4,medium,godog,2026-03-16T19:31:38.199586,github-oss
robotframework,https://github.com/robotframework/robotframework,1800,Python,search,Search Analytics,System tracks popular search terms,Multiple users searching for requirements,System tracks search queries over time,Popular search terms are identified,Search analytics reveal user needs. Business uses trending searches to improve documentation and features.,Search queries logged | Analytics dashboard available | Trending searches identified,3,easy,robotframework,2026-03-16T19:31:38.199586,github-oss
behave,https://github.com/behave/behave,2300,Python,reporting,Report Generation,User generates project completion report,Project manager has completed project,User clicks Generate Report for date range,System creates comprehensive report with metrics,"Reports provide visibility into project status. Business requires multiple formats, scheduling, and distribution.","Report generated in <30 seconds | Multiple formats (PDF, CSV, JSON) | Completion percentage accurate | Sent to stakeholders",4,medium,behave,2026-03-16T19:31:38.199586,github-oss
cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,reporting,Analytics Dashboard,Dashboard shows requirements burndown chart,Sprint data with completed requirements,User views analytics dashboard,System displays burndown chart and metrics,"Visual analytics help track progress. Business requires real-time updates, trend analysis, and customizable views.",Chart displays accurate data | Updates in real-time | Trend lines shown | Projections calculated,4,medium,cucumber-js,2026-03-16T19:31:38.199586,github-oss
robotframework,https://github.com/robotframework/robotframework,1800,Python,versioning,Requirement Versioning,User views requirement version history,Requirement modified multiple times,User clicks Version History for requirement,System displays all versions with details,"Version history provides audit trail and enables reverting changes. Business requires timestamp tracking, author identification, and diff viewing.",All versions listed chronologically | Author displayed | Timestamps shown | Diff viewer available,4,medium,robotframework,2026-03-16T19:31:38.199586,github-oss
jbehave,https://github.com/jbehave/jbehave-core,1200,Java,versioning,Requirement Versioning,User restores previous version of requirement,User viewing old version in history,User clicks Restore to Previous Version,System reverts requirement to selected version,Version restoration provides recovery capability. Business requires confirmation dialogs and versioning limits.,Version restored correctly | New entry created in history | Restoration logged with reason,3,easy,jbehave,2026-03-16T19:31:38.199586,github-oss
behave,https://github.com/behave/behave,2300,Python,collaboration,Comment Management,Team members comment on requirements,Requirement with existing comments,Team member adds comment and mentions @john,System notifies John and adds comment,"Comments enable collaboration and discussion. Business requires notifications, mention support, and threading.",Comment saved | John notified | @mention creates link | Threaded discussion,4,medium,behave,2026-03-16T19:31:38.199586,github-oss
godog,https://github.com/cucumber/godog,1500,Go,collaboration,Sharing & Permissions,Project manager shares project with team,Project manager has full access to project,Manager shares project with team role 'Editor',Team members gain access to project,"Share management controls access. Business requires granular permissions, audit logging, and easy revocation.",Team members see project | Members can edit | Share logged | Permissions enforced,4,medium,godog,2026-03-16T19:31:38.199586,github-oss
cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,notifications,Alert System,User receives notification when requirement updated,User subscribed to requirement notifications,Another user updates the requirement,System sends notification to subscriber,"Notifications keep stakeholders informed. Business requires preference management, multiple channels, and do-not-disturb hours.",Notification sent within 5 seconds | Email/SMS based on preference | Unsubscribe option available,3,easy,cucumber-js,2026-03-16T19:31:38.199586,github-oss
robotframework,https://github.com/robotframework/robotframework,1800,Python,notifications,Deadline Management,System alerts for approaching requirements deadlines,Requirement with deadline in 3 days,System runs scheduled alert job,Owner receives deadline reminder,"Deadline alerts prevent missed commitments. Business requires customizable alerts (7, 3, 1 day before).",Alert sent before deadline | Customizable time windows | Multiple alert channels,3,easy,robotframework,2026-03-16T19:31:38.199586,github-oss
behave,https://github.com/behave/behave,2300,Python,access_control,Role-Based Access,Admin accesses admin panel,User with admin role is logged in,Admin navigates to admin dashboard,System grants access and displays admin controls,"Role-based access control ensures data security. Business requires fine-grained permissions, audit logging, and easy management.",Admin dashboard loads | User management menu visible | Access logged with timestamp,3,easy,behave,2026-03-16T19:31:38.199586,github-oss
jbehave,https://github.com/jbehave/jbehave-core,1200,Java,access_control,Role-Based Access,Regular user denied access to admin panel,Regular user attempts admin panel access,System checks user permissions,Access denied and user redirected,Access denial prevents unauthorized actions. Business requires graceful user experience and security logging.,Access denied | Redirect to home | Attempt logged as security event,3,easy,jbehave,2026-03-16T19:31:38.199586,github-oss
godog,https://github.com/cucumber/godog,1500,Go,access_control,Field-Level Permissions,Sensitive fields restricted by role,User with viewer role viewing requirement,Requirement contains sensitive budget field,Field hidden and not editable,Field-level permissions protect sensitive data. Business restricts budget/salaries to finance team only.,Sensitive field hidden | Not accessible via API | Logged as access attempt,3,easy,godog,2026-03-16T19:31:38.199586,github-oss
robotframework,https://github.com/robotframework/robotframework,1800,Python,import_export,Bulk Import,User imports requirements from CSV,User has CSV file with requirements,User selects file and clicks Import,System validates and imports all requirements,"Bulk import enables migration and integration. Business requires validation, error reporting, and rollback.",File parsed correctly | Validation errors shown | Duplicates detected | Success count reported,4,medium,robotframework,2026-03-16T19:31:38.199586,github-oss
cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,import_export,Bulk Export,User exports all requirements in JSON,System contains 1000+ requirements,User selects Export All as JSON,System generates and downloads JSON file,JSON export enables integration with external tools. Business requires formatting options and large dataset handling.,File generated in <60 seconds | All records included | Proper JSON formatting | Pagination support,4,medium,cucumber-js,2026-03-16T19:31:38.199586,github-oss
behave,https://github.com/behave/behave,2300,Python,profile,User Profile Management,User updates profile information,User logged in viewing profile page,"User updates name, email, and phone number",System updates profile and shows success,"Profile management enables personalization. Business requires validation, change history, and data consistency.",Fields updated in database | Success message shown | Changes visible after reload | Audit logged,4,medium,behave,2026-03-16T19:31:38.199586,github-oss
jbehave,https://github.com/jbehave/jbehave-core,1200,Java,profile,Preferences Management,User customizes notification preferences,User in preferences/settings page,User disables email notifications but enables SMS alerts,System saves preferences,Preference management improves user satisfaction. Business requires granular controls and quick settings.,Preferences saved | Applied immediately | Persisted across sessions,3,easy,jbehave,2026-03-16T19:31:38.199586,github-oss
godog,https://github.com/cucumber/godog,1500,Go,tracking,Requirement Tracking,User marks requirement as completed,User viewing requirement with status 'In Progress',User clicks Mark as Complete,Status updated to Completed with timestamp,"Status tracking enables project visibility. Business requires timestamp recording, notifications, and metrics updates.",Status changed | Timestamp recorded | Stakeholders notified | Metrics updated,4,medium,godog,2026-03-16T19:31:38.199586,github-oss
behave,https://github.com/behave/behave,2300,Python,tracking,Progress Tracking,Project shows overall completion percentage,"Project with 100 requirements, 75 completed",System calculates project completion,Dashboard shows 75% completion,Progress visibility motivates teams. Business requires accurate calculations and trend tracking.,Percentage calculated correctly | Shown on dashboard | Trend line displayed,3,easy,behave,2026-03-16T19:31:38.199586,github-oss
