repo_name,feature_file,scenario_count,scenarios,commits,first_seen,last_modified
cucumber-js,basic.feature,4,Steps with PY strings | Increment variable once | Publish poem | Simple flat steps,2,2011-05-28T00:03:05+02:00,2011-05-30T12:54:18+02:00
cucumber-js,issue001-async_stepdef_callbacks.feature,1,Execute feature with asynchronous step definition,1,2011-05-29T00:12:01+02:00,2011-05-29T00:12:01+02:00
cucumber-js,asynchronous_step_definitions-issue_01.feature,2,Execute feature with asynchronous step definition | Waiting for an asynchronous step to call back,1,2011-06-01T10:31:00+02:00,2011-06-01T10:31:00+02:00
cucumber-js,core.feature,17,"All kinds of steps with And's and But's | simple | Simple flat step | Step definition body is executed several times | Step definition body is executed once | Single-parameter step | Matching group and one-liner DocString | Steps accepting a DocString parameter | Given a step passes | Steps accepting parameters | Matching group and multiline DocString | Given, When, Then, And and But steps | One-liner DocString parameter | Step definition body is executed | All kinds of steps | Three-parameter step | Simple flat steps",9,2011-07-05T23:59:54+02:00,2020-09-04T21:24:53-07:00
cucumber-js,progress_formatter.feature,11,"(1 passed) | one failing scenario with a skipped step | one two-step passing scenario, one two-step scenario with latest step failing | two scenarios, five steps, passing | Given a passing step | Given a failing step | one scenario, two steps, passing | one scenario, one step, failing | one scenario, one step, passing | one scenario, two steps, second failing | (1 failed)",1,2011-07-21T23:49:34+02:00,2011-07-21T23:49:34+02:00
cucumber-js,cli.feature,22,When a step is failing | run a single feature without step definitions | run a single failing feature with an empty hooks file | run a single failing feature with an AfterFeatures hook | 1 scenario (1 failed) | When a step is passing | (1 undefined) | (1 failed) | some scenario | run feature with step definitions in required directory (-r option) | run a single failing feature | some scenario - features/a.feature:2 | run a single feature | (1 passed) | run a single scenario within feature | run feature with non-default step definitions file location specified (-r option) | display Cucumber version | display help | When a step is undefined | second scenario | display help (short flag) | first scenario,29,2011-09-03T23:20:08+02:00,2020-09-04T21:24:53-07:00
cucumber-js,background.feature,21,"step | | containing a | ""a scenario"" has the steps: | step"" passes | Two examples within a rule with a background, plus a feature-level background | step    | | When a second scenario step | ""second example"" has the steps: | ""first example"" has the steps: | When a scenario step | step"" has a passing mapping | One scenario and a background | ""another scenario"" has the steps | Two scenarios and a background | steps... | ""another scenario"" has the steps: | step | a scenario | another scenario | ""a scenario"" has the steps | step   |",7,2011-09-12T22:50:19+02:00,2020-03-18T23:46:04+00:00
cucumber-js,coffeescript_support.feature,2,CoffeeScript step definition | using that mapping,2,2011-10-12T22:24:00+02:00,2012-04-18T12:23:29+02:00
cucumber-js,world_constructor_callback.feature,2,error on missing World instance | Then an error about the missing World instance is raised,1,2012-01-20T12:52:07+01:00,2012-01-20T12:52:07+01:00
cucumber-js,step_definition_snippets.feature,18,"multiple matching groups | outline steps with examples | placeholders in scenario outlines | numbers | Then a ""Given"" step definition snippet for /^I have (\d+) ""([^""]*)"" cucumbers$/ with 2 parameters is suggested | with: | step matching groups | quoted strings | multiple quoted strings | Then a ""Given"" step definition snippet for /^I am a happy veggie \\o\/$/ is suggested | Outline: a scenario | background step | Then a ""Given"" step definition snippet for /^I have some ""([^""]*)"", ""([^""]*)"" and ""([^""]*)"" cucumbers$/ with 3 parameters is suggested | escape regexp special characters | a step resulting in special characters in the expression | a scenario | Outline: escape regexp special characters | Then a ""Given"" example step definition snippet for /^I have ""(.*)"" cucumbers$/ with 1 parameters is suggested",14,2012-02-04T15:20:24+01:00,2022-04-11T08:48:11+01:00
cucumber-js,asynchronous_pending_step.feature,3,Then the scenario is pending | with: | Pending step means the scenario is pending,1,2012-02-05T22:57:08+01:00,2012-02-05T22:57:08+01:00
cucumber-js,asynchronous_failing_steps.feature,5,"a failing scenario | see asynchronously failing scenarios with exception | see asynchronously failing scenarios | called ""a failing scenario"" is reported as failing | see failing asynchronous scenarios",2,2012-02-05T23:28:49+01:00,2012-05-25T14:29:20+02:00
cucumber-js,hooks.feature,21,"I've declared one step and it is passing | Failing after hook fails the scenario | Failing before hook fails the scenario | After hooks still execute after a failure | Hooks are steps | Outline: Failing after hook fails the scenario | is a regression test for special ""around"" hooks which | some scenario | Failing before fails the scenario | World is this in hooks | ""some scenario"" ""After"" hook has status ""passed"" | Outline: Failing around hook (pre scenario) fails the scenario | with no tags | Outline: Failing around hook (post scenario) fails the scenario | Failing around hook (post scenario) fails the scenario | ""some scenario"" has the steps: | Outline: Failing before hook fails the scenario | ""some scenario"" has the steps | Tagged around hook with untagged scenario | Failing around hook (pre scenario) fails the scenario | Hooks still execute after a failure",22,2012-02-27T00:26:30+01:00,2020-09-04T21:24:53-07:00
cucumber-js,world_constructor_callback_with_object.feature,5,World constructor | a scenario | scenario calling function on explicit world instance | that calls a function on the explicit World object | World is explicit object,2,2012-03-21T15:46:30+01:00,2015-10-05T17:24:59-07:00
cucumber-js,step_definition_string_pattern.feature,11,that passes arguments to that mapping | simple | using that mapping | that passes multiple arguments to that mapping | parameter | step definition with string-based pattern and multiple parameters | multiple word parameter | step definition with string-based pattern and parameters | step definition with string-based pattern | a scenario | multiple parameters,4,2012-04-18T12:23:29+02:00,2015-10-07T20:13:29+02:00
cucumber-js,json_formatter.feature,74,"output JSON for a feature with tags | with two examples tables | output JSON for a feature with one scenario with a description | output JSON for a feature with one scenario with passing step | one"", | output JSON for background step with a DocString | output JSON for background with table | with an examples table with two rows and a background | This is the first feature | This scenario has tags | with an examples table with two rows | Outline: I've declared one step which passes | This is the feature c scenario two | three"", | output JSON for a feature with a background | I havn't done anything yet | output JSON for a feature with one scenario outline with an examples table with no rows | with no examples tables | I've declared one step but it is failing | with DocString"", | two"", | output JSON for a feature with one scenario outline with no examples tables | output JSON for a step with table | This one fails | has no tags"", | Scenario with DocString | with an examples table with two rows and before, after and around hooks | output JSON for multiple features | has the description ""Some description"" | output JSON for a feature with one undefined step and subsequent defined steps which should be skipped | This scenario contains a step with a table | output JSON for scenario with tags | output JSON for a feature with one scenario with failing step | This scenario has no tags | some scenario | output JSON for a feature with no scenarios | output JSON for a feature with one scenario with one pending step | I've declared one step which is passing, one pending and one failing. | output JSON for a scenario with a pending step followed by one that passes and one that fails | This is the second feature | This is the feature c scenario one | output JSON for a feature with one scenario outline with two examples tables | output JSON for a feature with one scenario with one undefined step | output JSON for a feature with a DocString | then it | with an examples table with no rows | output JSON for a feature with one scenario outline with an examples table with two rows and a background | contains a step with a table"", | One pending step and two following steps which will be skipped | This one passes | This is the feature a scenario two | output JSON for multiple features each with multiple scenarios | output JSON for a feature with one undefined scenario | has tags"", | output JSON for a feature with one scenario outline with an examples table with two rows | output JSON for a scenario with a passing step followed by one that is pending and one that fails | output JSON for a feature with one scenario outline with an examples table with two rows and before, after and around hooks | output JSON for a scenario with a pending step follwed by one that passes and one that fails | This is the feature b scenario three | This is the feature b scenario one | output JSON for a feature with a failing background | I've declared one step which passes | output JSON for one feature, one passing scenario, one failing scenario | This is the feature a scenario one | This is the feature b scenario two | that | This is the feature a scenario three | This is the feature c scenario three | output JSON for a feature with one scenario outline with an examples table with two rows and before and after hooks | with an examples table with two rows and before and after hooks | I've declared one step which is pending | This is the third feature | I've declared one step but not yet defined it | output JSON for a scenario with a passing step follwed by one that is pending and one that fails",18,2012-09-06T21:54:07+02:00,2016-12-04T20:12:26-08:00
cucumber-js,nodejs_style_callback_failure.feature,3,fail with single-parameter error | Then the scenario fails | with:,1,2012-10-08T22:50:42+02:00,2012-10-08T22:50:42+02:00
cucumber-js,data_table_rows.feature,1,a data table can be read as an array of values,1,2012-11-13T10:40:25+02:00,2012-11-13T10:40:25+02:00
cucumber-js,pogoscript_support.feature,2,PogoScript step definition | using that mapping,1,2013-10-24T10:48:06+02:00,2013-10-24T10:48:06+02:00
cucumber-js,scenario_outlines.feature,49,"Outline with table | Outline: basic outline | Basic outline | has the step ""a table step"" with the table | Outline: scenario outline 1 | Outline: outline | has the name ""a passing scenario"" | scenario outline 2 | placeholder in step | scenario outlines with tagged examples | Outline with doc string | scenario outline 1 | outline with doc string | called ""A failing step is followed by skipped steps"" is reported as failing | outline with placeholder twice in one line | basic outline | scenario outlines with multiple example tables | several scenarion outlines | Outlines and Examples | Outline: outline with doc string | Outline: another scenario | outline with table | ""a failing scenario"" step ""Given a table step"" has the data table: | placeholder in table | Outline: scenario outline 2 | has the name ""a failing scenario"" | ""a passing scenario"" has the steps: | placeholder in title | placeholder in docstring | ""a passing scenario"" step ""Given a table step"" has the data table: | Several outlines | called ""basic outline"" is reported as failing | Outline: a scenario | several scenario outlines | a scenario | has the step ""a doc string step"" with the doc string | ""a passing scenario"" step ""Given a doc string step"" has the doc string: | a <type> scenario | another scenario | Outline: A <some> step is followed by <result> steps | Outline: a <type> scenario | has the steps | A <some> step is followed by <result> steps | ""a failing scenario"" has the steps: | Scenario Outline: outline | ""a failing scenario"" step ""Given a doc string step"" has the doc string: | outline | Outline: outline with table | called ""outline"" is reported as failing",10,2014-03-05T15:10:07+01:00,2021-04-26T12:30:01+02:00
cucumber-js,attachments.feature,17,"Attach a buffer | Attach from a before hook | I've declared one step and it is passing | Attach from an after hook | ""some scenario"" ""Before"" hook has the attachments: | Attach a stream | ""some scenario"" ""After"" hook has the attachments: | Attach a stream (promise) | Attach from a step definition | ""some scenario"" step ""Given a step"" has the attachments: | Attach a stream (callback) | Attach a string that is already base64 encoded | Attach from an around hook (pre scenario) | Attach from an around hook (post scenario) | some scenario | Attaching after hook/step finishes | = scenario;",25,2014-08-13T13:04:28+02:00,2021-07-10T14:00:51-07:00
cucumber-js,pretty_formatter.feature,18,"some scenario - features/a.feature:2 | I've declared one step which passes   # features/a.feature:3 | I've declared one step and it is passing | I've declared one step and it is passing   # features/a.feature:3 | I've declared one step which passes | (1 passed) | Failing hook is reported as a failed step | Output pretty text for a feature with no scenarios | Pretty formatter hides around, before and after hooks | some scenario        # features/a.feature:3 | Pretty formatter with doc strings | pretty formatter with data table | output with --no-source flag should not show file sources | I've declared one step and it is passing - features/a.feature:3 | Pretty formatter hides before and after hooks | (1 failed) | some scenario | I haven't done anything yet",26,2014-08-13T13:04:28+02:00,2017-06-24T22:53:15+01:00
cucumber-js,scenario_statuses.feature,11,I've declared one step and it is passing | I've declared one step and it is failing | I've declared one step and it is pending | Success status | Statuses | Undefined status | Simultaneous statuses | Failed status | I've declared one step and it is undefined | Pending status | Check scenario statuses,9,2014-08-13T13:04:28+02:00,2016-11-25T10:52:31-08:00
cucumber-js,summary_formatter.feature,8,"with no scenarios | I've declared one step which passes | (1 passed) | Output summary for a feature with no scenarios | Summary formatter hides before and after hooks | with a scenarios | Summary formatter hides around, before and after hooks | some scenario",12,2014-08-13T13:04:28+02:00,2020-09-04T21:24:53-07:00
cucumber-js,strict_mode.feature,13,(1 pending) | Succeed with undefined step with --no-strict | Fail scenario with undefined step with --strict | (1 passed) | Fail Scenario with pending step with --strict | Fail with undefined step by default | Succeed with pending step with --no-strict | Missing | Fail scenario with undefined step with -S | (1 undefined) | Fail with pending step by default | Fail Scenario with pending step with -S | Succeed scenario with implemented step with --strict,15,2014-12-21T15:33:36+01:00,2020-09-04T21:24:53-07:00
cucumber-js,with_bom.feature,6,Unlogged user logs in | Logged user logs out | User sees 'connecting' while connecting | Minimal user sees welcome page with its username and logout | Disconnected user sees welcome page and reconnect option | Unlogged user sees welcome page with login,1,2015-01-02T21:37:15+00:00,2015-01-02T21:37:15+00:00
cucumber-js,synchronous_callbacks.feature,3,calling back synchronously from a step definition | Then the scenario passes | calling a synchronous step definition,1,2015-05-15T16:16:18+02:00,2015-05-15T16:16:18+02:00
cucumber-js,step_definition_callbacks.feature,10,succeed synchronously | that passes arguments to that mapping | with: | passes | Then the scenario fails | fail with promise | fails | succeed with promise if implicit parameters | fail with single-parameter error (Node.js style) | succeed with promise,4,2015-06-05T15:36:52+02:00,2015-07-03T22:55:48+02:00
cucumber-js,data_tables.feature,7,rowHash | rows | rowsHash | raw | hashes | a data table can be read as a hash | a scenario,10,2015-06-16T17:06:28+02:00,2024-04-21T09:36:38+01:00
cucumber-js,profiles.feature,17,specifying multiple profiles | using a JSON file | specifying a esm configuration file with default function profile | Outline: specifying a profile | (1 skipped) | (1 passed) | Outline: specifying a configuration file | some scenario   # features/a.feature:2 | Outline: specifying a esm configuration file with default function profile | default profile | specifying a configuration file | overriding the default profile | specifying a profile | (1 undefined) | specifying a configuration file that doesn't exist | some scenario | using a YAML file,22,2015-09-11T12:10:16+02:00,2024-04-21T09:56:23+01:00
cucumber-js,failed_scenarios.feature,8,some scenario - features/a.feature:2 | some scenario | 1 scenario (1 failed) | from nested features directory | some scenario - ../a.feature:2 | from project directory | (1 failed) | When a step is failing,7,2015-09-11T15:06:27+02:00,2017-06-24T22:53:15+01:00
cucumber-js,dryrun_mode.feature,21,"""some scenario"" step ""Given a step"" has status ""skipped"" | Skipped Scenario with pending step with --dry-run | Undefined scenario with undefined step with --dry-run --strict | Missing | undefined step | ""some scenario"" step ""Given a step"" has status ""ambiguous"" | Skipped scenario with defined step with -d | ""some scenario"" step ""Given a step"" has status ""undefined"" | (1 undefined) | ""some scenario"" has status ""skipped"" | Missing - features/a.feature:2 | Skipped scenario with undefined step with --dry-run | pending step | (1 skipped) | hooks should not execute in dry run, serial runtime | Scenario: some scenario | Skipped scenario with defined step with --dry-run --strict | default behavior | hooks should not execute in dry run, parallel runtime | Skipped scenario with defined step with --dry-run | ambiguous step",17,2015-09-24T08:38:17-04:00,2021-10-11T08:54:40+01:00
cucumber-js,compiler.feature,10,Given a step | (1 passed) | CoffeeScript step definition | CoffeeScript step definition (failing) | CoffeeScript step definition (passing) | - features/a.feature:2 | Given this step passes | (1 failed) | some scenario | Pogoscript step definition,7,2015-09-24T15:02:06+02:00,2018-01-11T08:31:07-08:00
cucumber-js,doc_string.feature,3,a scenario | as only step definition argument | with other step definition arguments,6,2015-10-05T17:24:59-07:00,2020-09-04T21:24:53-07:00
cucumber-js,failing_steps.feature,13,"asynchronous - throws | asynchronous - returning a promise | asynchronous - executing callback.fail) | asynchronous (executing callback.fail with error) | synchronous - throws | promise - rejects | too few arguments | asynchronous - using a callback and returning a promise | too many arguments | ""a scenario"" step ""Given a failing step"" failed with: | a scenario | asynchronous - passing error as first argument to the callback | promise - throws",17,2015-10-05T17:24:59-07:00,2021-07-10T14:00:51-07:00
cucumber-js,passing_steps.feature,5,"synchronous | promise | ""a scenario"" step ""Given a passing step"" has status ""passed"" | asynchronous | a scenario",11,2015-10-05T17:24:59-07:00,2021-07-10T14:00:51-07:00
cucumber-js,pending_steps.feature,6,"Synchronous pending step | Asynchronous pending step | Callback pending step | a scenario | ""a scenario"" step ""Given a pending step"" has status ""pending"" | Promise pending step",10,2015-10-05T17:24:59-07:00,2020-09-04T21:24:53-07:00
cucumber-js,step_definition_timeouts.feature,11,When a <TYPE> step with a disabled timeout | changing step timeouts does not effect other steps | When a <TYPE> step runs slowly with an increased timeout | Outline: steps can disable timeouts | slow steps timeout | steps can disable timeouts | Outline: slow steps can increase their timeout | slow steps can increase their timeout | When a <TYPE> step runs slowly | Outline: slow steps timeout | Outline: changing step timeouts does not effect other steps,14,2015-10-07T20:13:29+02:00,2021-07-10T14:00:51-07:00
cucumber-js,after_hook_interface.feature,12,promise rejects with error | callback without error | callback - returning a promise | callback with error | synchronous | promise resolves | promise rejects without error | too many arguments | callback asynchronously throws | a scenario | promise asynchronously throws | synchronously throws,6,2015-10-07T23:03:04+02:00,2016-11-25T10:52:31-08:00
cucumber-js,around_hook_interface.feature,12,post - promise rejects without error | post - promise rejects with error | pre - asynchronously throws | post - callback asynchronously throws | post - synchronous | post - synchronously throws | post - callback without error | post - callback with error | post - promise resolves | a scenario | pre - callback with error | post - promise asynchronously throws,1,2015-10-07T23:03:04+02:00,2015-10-07T23:03:04+02:00
cucumber-js,before_hook_interface.feature,12,promise rejects with error | callback without error | callback - returning a promise | callback with error | synchronous | promise resolves | promise rejects without error | too many arguments | callback asynchronously throws | a scenario | promise asynchronously throws | synchronously throws,5,2015-10-07T23:03:04+02:00,2016-11-25T10:52:31-08:00
cucumber-js,fail_fast.feature,8,"Passing | Failing - features/a.feature:2 | --fail-fast | Failing      # features/a.feature:2 | ""Passing"" step ""Given a passing step"" has status ""skipped"" | ""Failing"" | (1 failed) | Failing",15,2015-10-11T11:21:24-07:00,2020-09-04T21:24:53-07:00
cucumber-js,multiple_formatters.feature,6,I've declared one step which passes   # features/a.feature:3 | I've declared one step which passes | (1 passed) | Ability to specify multiple formatters | Invalid path | some scenario,14,2015-10-12T15:10:37-07:00,2020-09-04T21:24:53-07:00
cucumber-js,target_specific_scenarios.feature,17,run a single scenario | third scenario | second scenario   # features/a.feature:5 | run multiple scenarios | third scenario   # features/a.feature:13 | first scenario | When I run cucumber.js with `features/a.feature:8` | example | (1 passed) | first scenario   # features/a.feature:2 | Outline: third scenario   # features/a.feature:13 | third scenario   # features/a.feature:14 | Outline: third scenario   # features/a.feature:14 | second scenario | run a single scenario outline | Outline: third scenario | run a single scenario outline example,2,2015-10-16T09:16:45-06:00,2015-11-16T14:01:55-08:00
cucumber-js,step_definition_snippets_custom_syntax.feature,10,"When I run cucumber-js with `--snippet-interface <INTERFACE> --snippet-syntax coffeescript_syntax.js` | another scenario | Custom snippet syntax works in parallel runtime | When I run cucumber-js with `--format-options '{""snippetInterface"": ""<INTERFACE>"", ""snippetSyntax"": ""coffeescript_syntax.js""}'` | a scenario - features/undefined.feature:2 | Outline: | When I run cucumber-js with `--format-options '{""snippetInterface"": ""<INTERFACE>"", ""snippetSyntax"": ""./coffeescript_syntax.js""}'` | (1 undefined) | a scenario | Given a file named ""features/undefined.feature"" with:",14,2015-10-20T18:02:23-06:00,2025-12-01T12:57:45+00:00
cucumber-js,ambiguous_step.feature,6,"(1 ambiguous) | a scenario name - features/a.feature:2 | Given a ambiguous step | a scenario name | a scenario name # features/a.feature:2 | Given a file named ""features/a.feature"" with:",11,2015-11-05T08:47:46-08:00,2022-02-17T14:15:59-08:00
